Label,Label2,Text,Predictions
正面,稍微正面,比起/候友/宜/不知所云/自己/又/沒/主見/金小刀/現在/越/老/越/有/味道/而且/做/事/明快/路線/清楚/又/是/馬英九/過去/最/強/操盤/手/反正金/都/自己/下來/淌渾水/了/不如/直接/侯下金/上/反正/都/是/垃圾/時間/說不定/還/有/奇效金/今天/開/記者會/不/也/是/覺得/與其/讓/侯/發言/不如/自己/上/比較/快/不/是/嗎/要不要/改做/金/的/名調/啊,[0.6432375  0.35676256]
正面,稍微正面,之/銘言/網址/名稱/完整/公開/回應/侯友宜/兵役/政策/改口/金溥聰/記者會/說明/現在/是/演/哪/齣/有/沒/有/人/能/講解/一下/是/金小刀/獻策/發現/火/上/澆油/太過/火臉皮/薄/要/出來/扛/還是/侯友宜/自己/放/炮/金/小刀/要/出來/幫忙/扛/當兵/要不要/當/一/年/我們/的/總統/候選人/竟然/會/答錯/年/的/國民黨/跟/年/的/國民黨/哪/個/廢,[0.89735365 0.10264633]
正面,稍微正面,如/題/陳建州/因為/皮膚/黑/又/長/得/像/非洲裔/人士/就/把/藝名/取/黑人/在/國際/上/這/種/行為/算是/膚色/歧視/吧/這/人/是/不/是/台灣/之/恥,[0.87408996 0.12591007]
中立,中立,之/銘言/引述/之/銘言/你/只要/看看/黃國昌/邱顯智/的/居住/正義/永遠/都/是/課稅/課稅/房東/租/不/出去/課囤房稅/房東/收入/要/課稅/政府/還要/給/租房族/租金/補貼/靠/么/都/是/成本/轉到/房客/亂講/房東/漲/房租/是/抓/房客/的/容忍/極限/在/訂/房租/的/拉高/到/半/年/沒/人/租/就/會/降回來/不然/你/看/侯友宜/的/凱旋苑/大/群館/囤房稅/沒/增加/的/情況/下/還不是/一直/漲/而且/囤房稅/目的/不/是/要/囤/房蟲/繳稅/而是/逼囤/房蟲/釋出/囤房/像/新加坡/囤房稅/敢/囤/把/你/課/到/脫/褲子/你/敢/囤/這/是/最近/的/新聞/就/是/跟/你/說/你/吹/的/囤房稅/在/之前/三/年/經濟/好/的/時候/沒有/效果/彭博/表示/新加坡/房價/上漲為/控制/公寓/價格/星國/政府/在/月/宣佈/將/把/外國人/買/房/的/印花稅/從/原本/的/大幅/調升/至/對於/購買/第/間/住宅/的/新加坡/公民/印花稅/也/從/調至/然後/他/加/的/稅/都/是/在/交易/方面/然後/降下來/他/加/最/大/的/是/外國人/方面/你/可以/告訴/我/一直/吹囤/房稅/的話/的/為何/到/漲/到/最近/才/降/還/有/改/個/口號/好/嗎/改成/買/房/正義/喔/對了/還/有/韓國/之前/也/有/囤房稅/但是/房價/一直/往/上/最後/也/是/經濟/狀況/下降/還/有/抄/最/大/的/中國/也/不要/加/啥/稅/經濟/差/就/自然/下降/所以/打房/最/有效/的/方法/就/是/把/自己/內部/經濟/搞差/就/這樣,[0.5073938  0.49260628]
正面,稍微正面,剛/看/金小刀/蠻/傻眼/的/連/脫稿/演出/都/拿出來/講/了/這樣/下去/不要/等到/在/全代會/上/丟臉/侯友宜/有沒有/可能/在/之前/就/退出/今天/已經/不/是/侯友宜/個/人選/不/選/得/上/的/問題/而是/如果/他/繼續/維持/這樣/的/表現/整/個/國民黨/立委/選情/會/死/會/被/白/綠/兩/黨/生吞活剝/我/看/除了/郭台銘/韓國瑜/大概/也/蠢蠢欲動/了,[0.71801156 0.2819884 ]
負面,稍微負面,徐巧芯/這/波/恐龍/檢察官/不/起訴/側翼/是/幫/民進黨/得分/還/失分/我/看/輿論/反彈/很/大/耶/只有/側翼/同/溫層/自己/很/高興/中間/選票/會/往/哪/跑/司法/改革/遊行/徐巧芯/上台/剛好/可以/拿出來/講,[0.19782883 0.8021712 ]
正面,稍微正面,看到/有/人/黃子哲/在/記者會/說/侯/沒有/照/稿/念/不/是/啊/這/是/表示/侯比/讀稿機/還/慘/的/意思/嗎/這/記者會/是/開來/毀滅/侯/的/嗎,[0.8444038  0.15559615]
中立,中立,紅豆湯/之/銘言/居住/正義仔/這/套/思想/的/核心/是/社會/上/空房/不/夠/多所以/要/有/房/的/釋出/空房/但/問題/是/回到/老/問題/淡水/竹圍/八里/甚至/基隆/七八堵/都/不少/建案/蓋/了/沒/人/買/根本/不少/空房/空房/價格/太/貴/啦/讓/屋主/持有/成本/增加/他/會/選擇/降價/出售/或是/降價/出租/市場/調控/讓/人/會/願意/去/居住/阿/沒有/空房/根本/不/是/問題/居住/正義仔/對/整/個/房市/的/根本/是/莫名其妙/亂七八糟/既然/前提/都/錯/了/那/這/個/屯房稅/是/要/幹嘛/持有/房地/要/靠/市場/資金/與/投資人/廣義/信貸/維持/調整/稅製/讓/整體/市場/健康/大家/住得起/不/是/很/好/嗎/引述/之/銘言/因為/很多/時候/你們/把/問題/過度/單純化/了/我/還/記得/前/幾/年/一直/有/藍白粉/吵/實價/登錄/說/沒有/實價/登錄/就/是/打假球/政府/帶頭/炒房/結果/呢/實價/在/年/三讀/這/三/年/的/房價/是/漲/還是/跌囤/房稅/的/問題/我們/以/侯友宜/的/戶/來/看/就算/囤房稅/大幅/調漲/他/的/持有/成本/大幅/增加/他/有/可能/一/戶/一/戶/分拆/便宜/賣給/年輕人/嗎/怎麼/可能/絕對/是/先/漲/房租/再/想/辦法/用/人頭/避稅/真的/漲/不/動/避不了/也/是/整/棟/脫手/換人/經營/再/說/了/你/沒/事/會/去/買/文化/大學/的/套房/自住/嗎/就/當/你/念/文化/好了/畢業/也/是/搬出來/房子/租/人/吧/那/是/不/是/又/變/房蟲/了/另外/一/個/問題/是/因為/少子化/的/關係/房地產/會/傾向/集中/我/家人/是/沒/留/過/半毛/的/房產/給/我/但/像/黃國昌/夫妻/就算/不/看/畸零菜園/們/光/贈與/繼承/就/得到/八/筆/建物/了/他/每/筆/都/不/是/買/的/你/要/說/他/是/房蟲/嗎/未來/黃國昌/掛掉/你/覺得/他/的/子女/的/房地產/會/增加/還是/減少/他們/都/房蟲/嗎/那/你/覺得/就算/調囤/房稅/黃國昌/就/會/便宜/賣掉/他/的/八/筆/建物/嗎,[0.4055268  0.59447324]
正面,非常正面,侯有移/簡單/回答/一/個/兵役/問題/就/讓/國民黨/勞師/動眾/開/記者會/解釋/笑死/國民黨/是/不/是/以為/總統/繼續/選/一/個/類似/蔣萬安/一樣/的/候選人/當/傀儡/就/好/其他/都/由/幕僚/操刀/阿這樣/侯/以後/還/敢/參加/辯論/嗎,[0.9850515  0.01494851]
正面,稍微正面,這/七/年/多/蔡/政府/告/台灣人/透過/司法/威嚇/人民/的/案件/實在/是/暴增/太多/了/啦/而且/有/很多/根本/不會/起訴/又/硬/要告/很/沒/品/很/故意/希望/剩下/幾/個/月/少/告/一點/好/嗎,[0.85172534 0.14827469]
